Country,,2017년,2017 1월,2017 2월,2017 3월,2017 4월,2017 5월,2017 6월,2017 7월,2017 8월,2017 9월,2017 10월,2017 11월,2017 12월,2018년,2018 1월,2018 2월,2018 3월,2018 4월,2018 5월,2018 6월,2018 7월,2018 8월,2018 9월,2018 10월,2018 11월,2018 12월
Foreign Visitors,,13066901,1201267,1234996,1208854,1052163,954509,969111,987655,1081067,1055181,1140463,1069983,1111652,15095806,936840,1028548,1342404,1307844,1214840,1260806,1235331,1371600,1259064,1503314,1329934,1305281
Overseas Korean,,268854,19428,17084,24786,23735,23380,22691,21016,22438,23472,25175,23233,22416,251073,19196,16867,23696,23865,23181,21287,19502,20127,19540,24518,20456,18838
Japan,일본,2311447,154862,185032,274478,165748,159379,167785,170634,226735,219968,179661,213460,193705,2948527,167083,168241,294476,213853,227230,235293,230512,315025,247847,290468,299978,258521
Taiwan,대만,925616,69623,75830,74512,79203,73641,77986,84678,81867,74379,81625,76534,75738,1115333,75820,88076,94084,105177,88304,102863,97696,100517,87351,99972,88165,87308
Hong Kong,홍콩,658031,55524,36845,47834,79067,51875,58590,57005,59259,45023,54962,53286,58761,683818,34671,50590,62340,66533,57320,66136,58373,63397,49649,61473,53790,59546
Macao,마카오,51822,4590,2628,3202,4859,2754,3682,5019,6751,2752,3696,3872,8017,52831,2933,4834,4434,4123,3135,3841,5553,6420,3035,3658,4042,6823
Thailand,태국,498511,41877,40023,52503,56351,40032,27860,24631,23497,30651,50079,50860,60147,558912,44941,43428,55735,64720,51866,41020,33440,28516,34298,59941,46981,54026
Malaysia,말레이시아,307641,20559,19836,30820,34441,23898,18118,12757,15711,20769,32356,33043,45333,382929,22113,22529,37845,41735,25422,27627,15694,19218,28613,40758,45710,55665
Philippines,필리핀,448702,36950,35286,40085,47256,39055,35226,32343,31020,33772,43589,37101,37019,460168,30454,27013,41177,49053,42722,37554,29237,30459,33427,52016,44406,42650
Indonesia,인도네시아,230837,19515,21133,21955,24278,17408,18760,16128,13957,16637,19981,19073,22012,249067,17034,14739,20202,27913,19057,22833,18061,15796,18236,24931,24176,26089
Singapore,싱가포르,216170,9797,8923,21002,22912,18466,21482,10682,10764,15078,19054,21866,36144,231897,9664,9093,22182,21130,19768,23117,11521,11843,15346,21787,25981,40465
Brunei,브루나이,3763,183,192,510,234,183,239,155,183,224,272,267,1121,4876,302,313,581,322,158,277,186,306,334,400,538,1159
Myanmar,미얀마,69906,5521,5787,6679,5898,5842,5967,5538,5500,6014,5590,5191,6379,71094,5988,5305,6092,7360,6483,5915,6309,5252,5509,6083,5306,5492
Laos,라오스,9201,609,601,615,849,659,838,757,749,709,1080,856,879,11924,582,914,960,1385,728,1141,1032,798,749,1477,1071,1087
Vietnam,베트남,324740,13193,19021,25159,31324,25279,31688,31528,27572,28800,38472,28695,24009,457818,16285,24508,37656,50727,33676,48295,46310,37085,37481,55380,40571,29844
East-Timor,티모르,1000,70,98,73,117,65,89,96,106,97,85,44,60,1038,129,95,94,46,59,115,76,125,77,114,47,61
India,인도,123416,12461,12446,11805,9518,11440,9530,10127,9945,9771,10023,8826,7524,119791,7421,7093,9363,10641,11625,10346,9929,10610,11393,12683,10247,8440
Sri Lanka,스리랑카,17678,1253,1265,1456,1426,1766,1940,1365,1558,1909,1585,1021,1134,17901,1500,1153,1491,1400,1692,1930,1525,1623,1720,1742,1045,1080
Pakistan,파키스탄,13101,900,1341,1292,1071,1066,754,1188,1156,1178,1317,917,921,14188,1156,1301,1453,1132,1143,1111,1205,1170,1329,1220,1015,953
Nepal,네팔,23731,1286,1520,2379,1910,2130,2491,2647,1856,1839,1963,2249,1461,25926,1489,1691,2429,2167,3119,2406,2461,1944,1970,1846,2151,2253
Bangladesh,방글라데시,14083,786,1160,1224,1108,1051,886,1195,1302,1459,1615,1026,1271,16151,1231,1242,1492,1223,1168,1255,1363,1550,1584,1557,1270,1216
Afghanistan,아프가니스탄,803,57,37,57,55,50,45,104,102,97,97,56,46,721,30,47,60,55,57,36,59,84,74,85,82,52
Cambodia,캄보디아,30795,2156,2293,1862,3853,4378,2336,3000,1961,2092,3072,1709,2083,33395,2431,2582,2308,3950,4390,2745,2507,2161,1989,3174,2464,2694
Bhutan,부탄,644,42,33,37,34,75,77,45,37,89,54,75,46,510,15,24,36,47,38,69,33,41,57,66,56,28
Maldives,몰디브,301,20,7,17,29,45,21,41,25,32,32,23,9,233,9,12,17,23,15,24,16,30,23,29,21,14
Mongolia,몽골,103916,8520,7286,8627,6771,6345,9782,8301,7426,9354,10294,11452,9758,113864,10793,8901,10664,7607,7793,9123,9070,10418,11100,10729,9464,8202
Sikkim,시킴,0,,,,,,,,,,,,,0,,,,,,,,,,,,
China P  R ,중국,4169353,565243,590790,360782,227811,253359,254930,281263,339388,318682,345384,299247,332474,4789512,305127,345341,403413,366604,370222,379891,410337,478140,434595,475307,404256,416279
China-1,(중국1),,548289,559306,333482,204343,229851,232737,233781,254849,226997,249971,226050,265308,,230914,256437,305826,287643,295608,310624,323525,392540,346005,390689,336631,353183
China-Korean,(한국계중국인),,16954,31484,27300,23468,23508,22193,47482,84539,91685,95413,73197,67166,,74213,88904,97587,78961,74614,69267,86812,85600,88590,84618,67625,63096
United Nations,국제연합,1397,78,77,111,91,113,113,104,79,172,159,194,106,1310,64,83,110,104,130,118,101,49,151,197,127,76
Saudi Arabia,사우디아라비아,11301,594,659,867,816,694,589,1820,2115,1125,990,587,445,11553,732,558,643,863,576,1386,1828,1957,819,873,632,686
Israel,이스라엘,13507,888,820,1310,1855,1003,827,1099,952,1289,1777,950,737,15328,809,713,1513,1883,1284,896,1186,1205,1955,1774,1229,881
Jordan,요르단,2695,163,165,256,228,199,161,238,213,271,404,245,152,2693,174,180,229,261,214,166,256,203,252,310,281,167
Lebanon,레바논,1084,62,54,88,121,82,67,99,73,140,124,92,82,1023,74,85,77,100,78,80,73,88,84,111,108,65
Kuwait,쿠웨이트,2759,192,126,279,280,144,96,287,393,272,330,256,104,2695,198,68,266,302,104,251,305,439,207,198,177,180
Syria,시리아,1416,86,121,160,102,117,124,111,113,132,134,126,90,1553,108,89,150,146,95,138,159,101,186,146,106,129
Turkey,터키,27272,1749,1703,2138,2250,2125,2265,2418,2889,2636,2484,2391,2224,29558,1934,1896,2464,3329,2551,2499,2683,3197,2346,2593,2158,1908
