"location","gender","age_arange","age_total"
강남구,남,from0to4,50
강남구,남,from5to9,41
강남구,남,from10to14,35
강남구,남,from15to19,46
강남구,남,from20to24,142
강남구,남,from25to29,405
강남구,남,from30to34,533
강남구,남,from35to39,350
강남구,남,from40to44,249
강남구,남,from45to49,202
강남구,남,from50to54,187
강남구,남,from55to59,135
강남구,남,from60to64,69
강남구,남,from65to69,28
강남구,남,from70to74,14
강남구,남,from75to79,7
강남구,남,upto80,6
강남구,여,from0to4,43
강남구,여,from5to9,33
강남구,여,from10to14,22
강남구,여,from15to19,55
강남구,여,from20to24,313
강남구,여,from25to29,522
강남구,여,from30to34,375
강남구,여,from35to39,234
강남구,여,from40to44,181
강남구,여,from45to49,159
강남구,여,from50to54,175
강남구,여,from55to59,137
강남구,여,from60to64,81
강남구,여,from65to69,32
강남구,여,from70to74,16
강남구,여,from75to79,6
강남구,여,upto80,5
강동구,남,from0to4,53
강동구,남,from5to9,48
강동구,남,from10to14,15
강동구,남,from15to19,20
강동구,남,from20to24,71
강동구,남,from25to29,233
강동구,남,from30to34,264
강동구,남,from35to39,194
강동구,남,from40to44,182
강동구,남,from45to49,242
강동구,남,from50to54,238
강동구,남,from55to59,240
강동구,남,from60to64,84
강동구,남,from65to69,22
강동구,남,from70to74,11
강동구,남,from75to79,2
강동구,남,upto80,3
강동구,여,from0to4,71
강동구,여,from5to9,43
강동구,여,from10to14,21
강동구,여,from15to19,23
강동구,여,from20to24,104
강동구,여,from25to29,237
강동구,여,from30to34,254
강동구,여,from35to39,220
강동구,여,from40to44,190
강동구,여,from45to49,275
강동구,여,from50to54,317
강동구,여,from55to59,307
강동구,여,from60to64,109
강동구,여,from65to69,24
강동구,여,from70to74,9
강동구,여,from75to79,3
강동구,여,upto80,7
강북구,남,from0to4,41
강북구,남,from5to9,17
강북구,남,from10to14,13
강북구,남,from15to19,33
강북구,남,from20to24,128
강북구,남,from25to29,192
강북구,남,from30to34,163
강북구,남,from35to39,151
강북구,남,from40to44,102
강북구,남,from45to49,132
강북구,남,from50to54,141
강북구,남,from55to59,122
강북구,남,from60to64,56
강북구,남,from65to69,21
강북구,남,from70to74,12
강북구,남,from75to79,4
강북구,남,upto80,6
강북구,여,from0to4,40
강북구,여,from5to9,34
강북구,여,from10to14,16
강북구,여,from15to19,50
강북구,여,from20to24,302
강북구,여,from25to29,367
강북구,여,from30to34,289
강북구,여,from35to39,199
강북구,여,from40to44,143
강북구,여,from45to49,181
강북구,여,from50to54,235
강북구,여,from55to59,198
강북구,여,from60to64,85
강북구,여,from65to69,29
강북구,여,from70to74,11
강북구,여,from75to79,4
강북구,여,upto80,6
강서구,남,from0to4,127
강서구,남,from5to9,66
강서구,남,from10to14,22
강서구,남,from15to19,31
강서구,남,from20to24,107
강서구,남,from25to29,311
강서구,남,from30to34,405
강서구,남,from35to39,340
강서구,남,from40to44,302
강서구,남,from45to49,358
강서구,남,from50to54,423
강서구,남,from55to59,378
강서구,남,from60to64,204
강서구,남,from65to69,67
강서구,남,from70to74,24
강서구,남,from75to79,16
강서구,남,upto80,5
강서구,여,from0to4,120
강서구,여,from5to9,59
강서구,여,from10to14,23
강서구,여,from15to19,73
강서구,여,from20to24,184
강서구,여,from25to29,451
강서구,여,from30to34,536
강서구,여,from35to39,408
강서구,여,from40to44,228
강서구,여,from45to49,332
강서구,여,from50to54,402
강서구,여,from55to59,348
강서구,여,from60to64,139
강서구,여,from65to69,42
강서구,여,from70to74,14
강서구,여,from75to79,14
강서구,여,upto80,5
관악구,남,from0to4,339
관악구,남,from5to9,199
관악구,남,from10to14,75
관악구,남,from15to19,111
관악구,남,from20to24,406
관악구,남,from25to29,911
관악구,남,from30to34,1087
관악구,남,from35to39,826
관악구,남,from40to44,654
관악구,남,from45to49,908
관악구,남,from50to54,1178
관악구,남,from55to59,1078
관악구,남,from60to64,424
관악구,남,from65to69,100
관악구,남,from70to74,23
