"location","gender","visa_type","visa_total"
강남구,남,문화예술(D-1),"0"
강남구,남,구직(D-10),"38"
강남구,남,유학(D-2),"55"
강남구,남,기술연수(D-3),"0"
강남구,남,일반연수(D-4),"49"
강남구,남,취재(D-5),"0"
강남구,남,종교(D-6),"3"
강남구,남,주재(D-7),"45"
강남구,남,기업투자(D-8),"326"
강남구,남,무역경영(D-9),"25"
강남구,남,교수(E-1),"8"
강남구,남,선원취업(E-10),"0"
강남구,남,회화(E-2),"237"
강남구,남,연구(E-3),"21"
강남구,남,기술지도(E-4),"0"
강남구,남,전문직업(E-5),"4"
강남구,남,예술흥행(E-6),"48"
강남구,남,특정활동(E-7),"637"
강남구,남,비전문취업(E-9),"68"
강남구,남,방문동거(F-1),"121"
강남구,남,거주(F-2),"94"
강남구,남,동반(F-3),"66"
강남구,남,영주(F-5),"219"
강남구,남,결혼이민(F-6),"162"
강남구,남,기타(G-1),"39"
강남구,남,관광취업(H-1),"22"
강남구,남,방문취업(H-2),"174"
강남구,남,기타,"38"
강남구,여,문화예술(D-1),"0"
강남구,여,구직(D-10),"50"
강남구,여,유학(D-2),"177"
강남구,여,기술연수(D-3),"1"
강남구,여,일반연수(D-4),"83"
강남구,여,취재(D-5),"1"
강남구,여,종교(D-6),"0"
강남구,여,주재(D-7),"4"
강남구,여,기업투자(D-8),"35"
강남구,여,무역경영(D-9),"2"
강남구,여,교수(E-1),"1"
강남구,여,선원취업(E-10),"0"
강남구,여,회화(E-2),"278"
강남구,여,연구(E-3),"0"
강남구,여,기술지도(E-4),"0"
강남구,여,전문직업(E-5),"0"
강남구,여,예술흥행(E-6),"53"
강남구,여,특정활동(E-7),"176"
강남구,여,비전문취업(E-9),"15"
강남구,여,방문동거(F-1),"131"
강남구,여,거주(F-2),"132"
강남구,여,동반(F-3),"160"
강남구,여,영주(F-5),"339"
강남구,여,결혼이민(F-6),"359"
강남구,여,기타(G-1),"30"
강남구,여,관광취업(H-1),"68"
강남구,여,방문취업(H-2),"273"
강남구,여,기타,"21"
강동구,남,문화예술(D-1),"0"
강동구,남,구직(D-10),"10"
강동구,남,유학(D-2),"15"
강동구,남,기술연수(D-3),"0"
강동구,남,일반연수(D-4),"31"
강동구,남,취재(D-5),"0"
강동구,남,종교(D-6),"1"
강동구,남,주재(D-7),"1"
강동구,남,기업투자(D-8),"16"
강동구,남,무역경영(D-9),"2"
강동구,남,교수(E-1),"3"
강동구,남,선원취업(E-10),"0"
강동구,남,회화(E-2),"58"
강동구,남,연구(E-3),"2"
강동구,남,기술지도(E-4),"0"
강동구,남,전문직업(E-5),"0"
강동구,남,예술흥행(E-6),"1"
강동구,남,특정활동(E-7),"54"
강동구,남,비전문취업(E-9),"211"
강동구,남,방문동거(F-1),"168"
강동구,남,거주(F-2),"74"
강동구,남,동반(F-3),"31"
강동구,남,영주(F-5),"324"
강동구,남,결혼이민(F-6),"122"
강동구,남,기타(G-1),"26"
강동구,남,관광취업(H-1),"1"
강동구,남,방문취업(H-2),"769"
강동구,남,기타,"2"
강동구,여,문화예술(D-1),"0"
강동구,여,구직(D-10),"12"
강동구,여,유학(D-2),"34"
강동구,여,기술연수(D-3),"2"
강동구,여,일반연수(D-4),"28"
강동구,여,취재(D-5),"0"
강동구,여,종교(D-6),"1"
강동구,여,주재(D-7),"1"
강동구,여,기업투자(D-8),"1"
강동구,여,무역경영(D-9),"0"
강동구,여,교수(E-1),"0"
강동구,여,선원취업(E-10),"0"
강동구,여,회화(E-2),"72"
강동구,여,연구(E-3),"0"
강동구,여,기술지도(E-4),"0"
강동구,여,전문직업(E-5),"0"
강동구,여,예술흥행(E-6),"0"
강동구,여,특정활동(E-7),"16"
강동구,여,비전문취업(E-9),"22"
강동구,여,방문동거(F-1),"272"
강동구,여,거주(F-2),"111"
강동구,여,동반(F-3),"44"
강동구,여,영주(F-5),"479"
강동구,여,결혼이민(F-6),"502"
강동구,여,기타(G-1),"7"
강동구,여,관광취업(H-1),"2"
강동구,여,방문취업(H-2),"607"
강동구,여,기타,"1"
강북구,남,문화예술(D-1),"0"
강북구,남,구직(D-10),"20"
강북구,남,유학(D-2),"139"
강북구,남,기술연수(D-3),"0"
강북구,남,일반연수(D-4),"79"
강북구,남,취재(D-5),"1"
강북구,남,종교(D-6),"11"
강북구,남,주재(D-7),"0"
강북구,남,기업투자(D-8),"6"
강북구,남,무역경영(D-9),"4"
강북구,남,교수(E-1),"15"
강북구,남,선원취업(E-10),"0"
강북구,남,회화(E-2),"23"
강북구,남,연구(E-3),"1"
강북구,남,기술지도(E-4),"0"
강북구,남,전문직업(E-5),"0"
강북구,남,예술흥행(E-6),"0"
강북구,남,특정활동(E-7),"18"
강북구,남,비전문취업(E-9),"27"
강북구,남,방문동거(F-1),"133"
강북구,남,거주(F-2),"70"
강북구,남,동반(F-3),"44"
강북구,남,영주(F-5),"249"
강북구,남,결혼이민(F-6),"113"
강북구,남,기타(G-1),"33"
강북구,남,관광취업(H-1),"2"
강북구,남,방문취업(H-2),"343"
강북구,남,기타,"3"
강북구,여,문화예술(D-1),"0"
강북구,여,구직(D-10),"39"
강북구,여,유학(D-2),"273"
강북구,여,기술연수(D-3),"2"
강북구,여,일반연수(D-4),"108"
강북구,여,취재(D-5),"0"
강북구,여,종교(D-6),"8"
강북구,여,주재(D-7),"0"
강북구,여,기업투자(D-8),"3"
강북구,여,무역경영(D-9),"0"
강북구,여,교수(E-1),"6"
강북구,여,선원취업(E-10),"0"
강북구,여,회화(E-2),"37"
강북구,여,연구(E-3),"0"
강북구,여,기술지도(E-4),"0"
강북구,여,전문직업(E-5),"0"
